Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"La Mesa, M; Piepenburg, D; Pineda-Metz, SEA; Riginella, E; Eastman, JT",,,,"La Mesa, Mario; Piepenburg, Dieter; Pineda-Metz, Santiago E. A.; Riginella, Emilio; Eastman, Joseph T.",,,Spatial distribution and habitat preferences of demersal fish assemblages in the southeastern Weddell Sea (Southern Ocean),POLAR BIOLOGY,,,,,,,,,,,,,,,,,"; Eastman, Joseph/O-6150-2019; Piepenburg, Dieter/H-3251-2019; Pineda Metz, Santiago/AAB-4814-2022; Riginella, Emilio/Q-2987-2019","Riginella, Emilio/0000-0002-1442-8310; Piepenburg, Dieter/0000-0003-3977-2860; Pineda Metz, Santiago E A/0000-0001-7780-6449",,,,,,,,,,,,,0722-4060,1432-2056,,,,MAY,2019,42,5,,,,,1025,1040,,10.1007/s00300-019-02495-3,http://dx.doi.org/10.1007/s00300-019-02495-3,,,,,,,,,,,,,WOS:000466390100014,View Full Record in Web of Science
J,"Tea, YK; Sih, TL; Walsh, F; Bennett, T; Rocha, LA; Bardout, G; Hay, A; Parkinson, K; Reader, S; Riley, IJ; Pogonoski, JJ; Johnson, JW; Moore, GI; Gill, AC; Galbraith, GF; Cresswell, BJ; Hoey, AS; Frable, BW; Brooke, BP; Beaman, RJ",,,,"Tea, Yi-Kai; Sih, Tiffany L.; Walsh, Fenton; Bennett, Timothy; Rocha, Luiz A.; Bardout, Ghislain; Hay, Amanda; Parkinson, Kerryn; Reader, Sally; Riley, Indiana J.; Pogonoski, John J.; Johnson, Jeffrey W.; Moore, Glenn I.; Gill, Anthony C.; Galbraith, Gemma F.; Cresswell, Benjamin J.; Hoey, Andrew S.; Frable, Benjamin W.; Brooke, Brendan P.; Beaman, Robin J.",,,"New records of fishes from the Coral Sea Marine Park, Australia",CORAL REEFS,,,,,,,,,,,,,,,,,"; Galbraith, Gemma/JDC-1864-2023; Rocha, Luiz/T-6326-2019; Hoey, Andrew/B-5457-2015; Cresswell, Benjamin/IUP-4715-2023; Sih, Tiffany/AAT-8386-2020; Pogonoski, John/E-1710-2017","Riley, Indiana J/0000-0001-5403-5266; Rocha, Luiz/0000-0003-4011-569X; Sih, Tiffany/0000-0001-8347-6087; Hay, Amanda/0000-0002-1335-2342; Tea, Yi-Kai/0000-0002-2146-2592; Parkinson, Kerryn/0000-0003-1866-8650; Reader, Sally/0000-0001-6580-012X; Pogonoski, John/0000-0002-4878-3919;",,,,,,,,,,,,,0722-4028,1432-0975,,,,AUG,2025,44,4,,,,,1227,1273,,10.1007/s00338-025-02664-3,http://dx.doi.org/10.1007/s00338-025-02664-3,,JUN 2025,,,,,,,,,,,WOS:001509351600001,View Full Record in Web of Science
J,"Pineda-Metz, SEA; Gerdes, D",,,,"Pineda-Metz, Santiago E. A.; Gerdes, Dieter",,,Seabed images versus corer sampling: a comparison of two quantitative approaches for the analysis of marine benthic communities in the southern Weddell Sea (Southern Ocean),POLAR BIOLOGY,,,,,,,,,,,,,,,,,"Pineda Metz, Santiago/AAB-4814-2022","Pineda Metz, Santiago E A/0000-0001-7780-6449",,,,,,,,,,,,,0722-4060,1432-2056,,,,MAR,2018,41,3,,,,,515,526,,10.1007/s00300-017-2211-3,http://dx.doi.org/10.1007/s00300-017-2211-3,,,,,,,,,,,,,WOS:000425956700014,View Full Record in Web of Science
J,"Piras, C; Mion, M; Fortibuoni, T; Franceschini, G; Punzo, E; Strafella, P; Despalatovic, M; Cvitkovic, I; Raicevich, S",,,,"Piras, Camilla; Mion, Monica; Fortibuoni, Tomaso; Franceschini, Gianluca; Punzo, Elisa; Strafella, Pierluigi; Despalatovic, Marija; Cvitkovic, Ivan; Raicevich, Sasa",,,A photographic method to identify benthic assemblages based on demersal trawler discards,FISHERIES RESEARCH,,,,,,,,,,,,,,,,,"Strafella, Pierluigi/Q-3436-2018; Punzo, Elisa/AGJ-6213-2022; Strafella, Pierluigi/Q-3436-2018; Mion, Monica/KHZ-6406-2024; Fortibuoni, Tomaso/L-1362-2019","Strafella, Pierluigi/0000-0002-1947-7023; Punzo, Elisa/0000-0002-4286-1955; Mion, Monica/0000-0001-7844-6086; Fortibuoni, Tomaso/0000-0003-3449-3475; Strafella, Pierluigi/0000-0002-1947-7023; Raicevich, Saša/0000-0002-9323-031X;",,,,,,,,,,,,,0165-7836,1872-6763,,,,JUN,2016,178,,,,SI,,142,151,,10.1016/j.fishres.2015.08.019,http://dx.doi.org/10.1016/j.fishres.2015.08.019,,,,,,,,,,,,,WOS:000375739100015,View Full Record in Web of Science
J,"Kilpatrick, R; Ewing, G; Lamb, T; Welsford, D; Constable, A",,,,"Kilpatrick, Robert; Ewing, Graeme; Lamb, Tim; Welsford, Dirk; Constable, Andrew",,,"Autonomous video camera system for monitoring impacts to benthic habitats from demersal fishing gear, including longlines",DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,,,,,,,,,,,,,,,,,,"Constable, Anew John/0000-0002-4841-2296; Welsford, Dirk/0000-0001-5379-5052",,,,,,,,,,,,,0967-0637,,,,,APR,2011,58,4,,,,,486,491,,10.1016/j.dsr.2011.02.006,http://dx.doi.org/10.1016/j.dsr.2011.02.006,,,,,,,,,,,,,WOS:000289391000014,View Full Record in Web of Science
J,"Puerta, P; Cañedo-Apolaya, RM; Rueda, JL; Dominguez-Carrió, C; Urra, J; Orejas, C",,,,"Puerta, Patricia; Canedo-Apolaya, Rosa M.; Rueda, Jose L.; Dominguez-Carrio, Carlos; Urra, Javier; Orejas, Covadonga",,,Deep-sea ecosystems in the north-eastern Alboran Sea (western Mediterranean): quantifying assemblages and anthropogenic activity in the Seco de los Olivos Bank,MARINE BIODIVERSITY,,,,,,,,,,,,,,,,,"; Orejas, Covadonga/B-1644-2012; Puerta, Patricia/JEF-4856-2023; Rueda, Jose/JXY-9070-2024; Dominguez-Carrió, Carlos/K-5723-2017","Puerta, Patricia/0000-0003-4413-4601; Cañedo Apolaya, Rosa Maria Lorena/0000-0002-6207-9530; Dominguez-Carrió, Carlos/0000-0002-0025-9376",,,,,,,,,,,,,1867-1616,1867-1624,,,,APR,2025,55,2,,,,,,,31,10.1007/s12526-025-01505-4,http://dx.doi.org/10.1007/s12526-025-01505-4,,,,,,,,40129621,,,,,WOS:001449541500001,View Full Record in Web of Science
J,"Elliott, SAM; Sabatino, AD; Heath, MR; Turrell, WR; Bailey, DM",,,,"Elliott, Sophie A. M.; Sabatino, Alessandro D.; Heath, Michael R.; Turrell, William R.; Bailey, David M.",,,Landscape effects on demersal fish revealed by field observations and predictive seabed modelling,PLOS ONE,,,,,,,,,,,,,,,,,"Elliott, Sophie/JBR-7909-2023; Heath, Michael/D-5765-2013; Turrell, William/C-3827-2016; Bailey, David/A-6240-2008","Heath, Michael/0000-0001-6602-3107; Bailey, David/0000-0002-0824-8823; Elliott, Sophie/0000-0001-6169-1560; Turrell, William/0000-0002-1889-1468",,,,,,,,,,,,,1932-6203,,,,,DEC 11,2017,12,12,,,,,,,e0189011,10.1371/journal.pone.0189011,http://dx.doi.org/10.1371/journal.pone.0189011,,,,,,,,29228035,,,,,WOS:000417648600028,View Full Record in Web of Science
J,"Boulard, M; Baker, K; Lawton, P; Edinger, E",,,,"Boulard, Marion; Baker, Krista; Lawton, Peter; Edinger, Evan",,,Local size structure and distribution of demersal fish in relation to sea pens and other benthic habitats in a deep-sea soft-bottom environment,DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,,,,,,,,,,,,,,,,,,"Boulard, Marion/0000-0001-7752-4230",,,,,,,,,,,,,0967-0645,1879-0100,,,,DEC,2024,218,,,,,,,,105417,10.1016/j.dsr2.2024.105417,http://dx.doi.org/10.1016/j.dsr2.2024.105417,,SEP 2024,,,,,,,,,,,WOS:001312391900001,View Full Record in Web of Science
J,"Castellan, G; Angeletti, L; Canese, S; Mazzoli, C; Montagna, P; Schiaparelli, S; Taviani, M",,,,"Castellan, Giorgio; Angeletti, Lorenzo; Canese, Simonepietro; Mazzoli, Claudio; Montagna, Paolo; Schiaparelli, Stefano; Taviani, Marco",,,"Visual Imaging of Benthic Carbonate-Mixed Factories in the Ross Sea Region Marine Protected Area, Antarctica",MINERALS,,,,,,,,,,,,,,,,,"Angeletti, Lorenzo/AAH-1544-2020; Castellan, Giorgio/ABC-3340-2020; Mazzoli, Claudio/H-9651-2015; Montagna, Paolo/H-9632-2015; Taviani, Marco/AAF-2168-2020; Schiaparelli, Stefano/AAI-4024-2020; Canese, Simonepietro/AAA-5499-2019","Angeletti, Lorenzo/0000-0003-3159-2400; Castellan, Giorgio/0000-0001-6084-1504; Mazzoli, Claudio/0000-0002-0374-8415; Schiaparelli, Stefano/0000-0002-0137-3605; taviani, marco/0000-0003-0414-4274; Montagna, Paolo/0000-0001-5598-2214; Canese, Simonepietro/0000-0001-6049-4506;",,,,,,,,,,,,,,2075-163X,,,,AUG,2021,11,8,,,,,,,833,10.3390/min11080833,http://dx.doi.org/10.3390/min11080833,,,,,,,,,,,,,WOS:000690649100001,View Full Record in Web of Science
J,"Mitchell, PJ; Bolam, SG; Close, HL; Garcia, C; Monk, J; Alliji, K",,,,"Mitchell, Peter J.; Bolam, Stefan G.; Close, Hayden L.; Garcia, Clement; Monk, Jacquomo; Alliji, Khatija",,,Distribution of demersal fish assemblages along the west coast of St Lucia: Implications for planning no-take marine reserves,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,,,,,,,,,,,,,,,,,"; Monk, Jacquomo/C-6856-2011","Monk, Jacquomo/0000-0002-1874-0619; Mitchell, Peter/0000-0002-4286-2288; Close, Hayden/0000-0003-4928-8378;",,,,,,,,,,,,,1052-7613,1099-0755,,,,JUN,2021,31,6,,,,,1354,1366,,10.1002/aqc.3518,http://dx.doi.org/10.1002/aqc.3518,,FEB 2021,,,,,,,,,,,WOS:000616495400001,View Full Record in Web of Science
