"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Dajka, J.C.; Levi, S.; Verstraeten, A.M.; Menendez, V.A.; Smith, M.; Snow, B.; Vargas-Fonseca, O.A.; Hillebrand, H.","Dajka, Jan Claas (57207689235); Levi, Soli (59307266900); Verstraeten, A. M. (60007142200); Menendez, V. A. (60007142300); Smith, M. (60006874000); Snow, Bernadette (57209753770); Vargas-Fonseca, O. Alejandra (57193496711); Hillebrand, Helmut (7003753712)","57207689235; 59307266900; 60007142200; 60007142300; 60006874000; 57209753770; 57193496711; 7003753712","Marine biodiversity change impacts relational values: expert survey shows policy mismatch","2025","NPJ Ocean Sustainability","4","1","42","","","0","0","10.1038/s44183-025-00148-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011166331&doi=10.1038%2Fs44183-025-00148-z&partnerID=40&md5=746038ff4bf24dd8672f23132138f7f8","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105011166331"
"Bridges, A.E.H.; Howell, K.L.","Bridges, Amelia E.H. (57221983305); Howell, Kerry Louise (7103232325)","57221983305; 7103232325","Prioritisation of ocean biodiversity data collection to deliver a sustainable ocean","2025","Communications Earth and Environment","6","1","473","","","0","4","10.1038/s43247-025-02442-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008723323&doi=10.1038%2Fs43247-025-02442-7&partnerID=40&md5=9251edaf4acfbae4d4637b4542687915","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105008723323"
"Sozzoni, M.; Balacco, J.; Bellavita, M.; Brüniche–Olsen, A.; Formenti, G.; Jain, N.; Koo, B.; Mountcastle, J.; Palmada-Flores, M.; Trifonov, V.; Chelazzi, G.; Fratini, S.; Jarvis, E.D.; Natali, C.; Nespoli, D.; Ciofi, C.; Iannucci, A.","Sozzoni, Marcella (57641397000); Balacco, Jennifer R. (57220069914); Bellavita, Massimo (18436250500); Brüniche–Olsen, Anna (37013198500); Formenti, Giulio (57205375275); Jain, Nivesh (57415064000); Koo, Bonhwang (59741420400); Mountcastle, Jacquelyn (57217680406); Palmada-Flores, Marc (57220952549); Trifonov, Vladimir A. (35495168100); Chelazzi, Guido (36745423300); Fratini, Sara (7003383227); Jarvis, Erich D. (57224747797); Natali, Chiara (26024298300); Nespoli, Davide (56644908700); Ciofi, Claudio (7005993266); Iannucci, Alessio (55992205400)","57641397000; 57220069914; 18436250500; 37013198500; 57205375275; 57415064000; 59741420400; 57217680406; 57220952549; 35495168100; 36745423300; 7003383227; 57224747797; 26024298300; 56644908700; 7005993266; 55992205400","Quaternary Habitat Fluctuations and Demographic Dynamics in Turtles Inferred From Environmental Niche Modelling and Whole Genome Data","2025","Molecular Ecology Resources","25","8","e70040","","","0","0","10.1111/1755-0998.70040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015341090&doi=10.1111%2F1755-0998.70040&partnerID=40&md5=9be03e8a38986c78d5804e78563af066","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105015341090"
"Zhu, Q.; Li, H.; Sun, H.; Xia, T.; Wang, X.; Han, Z.","Zhu, Qiaoshi (60143959900); Li, Hongping (35203367300); Sun, Haochen (58653484400); Xia, Tianyu (59490017300); Wang, Xiaoman (60143862200); Han, Zijun (60143862300)","60143959900; 35203367300; 58653484400; 59490017300; 60143862200; 60143862300","3DV-Unet: Eddy-Resolving Reconstruction of Three-Dimensional Upper-Ocean Physical Fields from Satellite Observations","2025","Remote Sensing","17","19","3394","","","0","0","10.3390/rs17193394","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018908185&doi=10.3390%2Frs17193394&partnerID=40&md5=9fc08e32f23af5dfe745442f65647df7","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105018908185"
"Macovei, V.A.; Lefèvre, N.; Diverrés, D.; Kinski, N.; Listing, O.; Voynova, Y.G.","Macovei, Vlad A. (57212268790); Lefèvre, Nathalie (6701643396); Diverrés, Denis (7801378040); Kinski, Nadja (59316873400); Listing, Oliver (57191331368); Voynova, Yoana G. (55053468000)","57212268790; 6701643396; 7801378040; 59316873400; 57191331368; 55053468000","At-sea intercomparison of a membrane-based pCO2 sensor and a traditional showerhead equilibrator system on a Ship-of-Opportunity","2025","Limnology and Oceanography: Methods","23","10","","729","741","0","0","10.1002/lom3.10719","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012885088&doi=10.1002%2Flom3.10719&partnerID=40&md5=a87aa4452bc131a086397febcdcd63db","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105012885088"
"Mirzaei Hotkani, M.; Martin, B.; Bousquet, J.F.; Delarue, J.","Mirzaei Hotkani, Mojgan (59478184900); Martin, Bruce S. (37022646100); Bousquet, Jean François (25930725000); Delarue, Julien (57563632000)","59478184900; 37022646100; 25930725000; 57563632000","Real-Time Analysis of Millidecade Spectra for Ocean Sound Identification and Wind Speed Quantification","2025","Acoustics","7","3","44","","","0","1","10.3390/acoustics7030044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017057352&doi=10.3390%2Facoustics7030044&partnerID=40&md5=e8a5ae2169c71841c04cffed8cfb1fd9","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105017057352"
"Santana, J.; Porto, M.; Morán-Ordóñez, A.; Brotons, L.; Junker, J.; Kissling, W.D.; Lumbierres, M.; Moe, S.J.; Lyche-Solheim, A.L.; Villero, D.; Breeze, T.D.; Carvalho, L.; Fernández, N.; Herrando, S.; López-Baucells, A.; Shamoun-Baranes, J.; Silero, N.; Pereira, H.M.; Moreira, F.; Beja, P.","Santana, Joana (33867710600); Porto, Miguel (36183556900); Morán-Ordóñez, Alejandra (36608452500); Brotons, Lluís L. (55350667100); Junker, Jessi (60100813800); Kissling, Wilm Daniel (59157669600); Lumbierres, Maria (57205350690); Moe, S. Jannicke (60101856300); Lyche-Solheim, Anne (24068930700); Villero, Daniel (37108658000); Breeze, Tom D. (37461055700); Carvalho, Laurence R. (8140762800); Fernández, Néstor (56185174300); Herrando, Sergi (6603634487); López-Baucells, Adrià (55185186200); Shamoun-Baranes, Judy Z. (8289707700); Silero, Neftalí (60101437600); Pereira, Henrique Miguel (35750332100); Moreira, Francisco M. (55266517400); Beja, Pedro Rui (6602807125)","33867710600; 36183556900; 36608452500; 55350667100; 60100813800; 59157669600; 57205350690; 60101856300; 24068930700; 37108658000; 37461055700; 8140762800; 56185174300; 6603634487; 55185186200; 8289707700; 60101437600; 35750332100; 55266517400; 6602807125","Large Biodiversity Monitoring Gaps Remain Across Europe","2025","Conservation Letters","18","5","e13134","","","0","0","10.1111/conl.13134","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016135342&doi=10.1111%2Fconl.13134&partnerID=40&md5=42e5520e563ff184a230de9ee4c3928e","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105016135342"
"Yeap, H.L.; Pandey, G.; Austin, J.J.; Oakeshott, J.G.; Hardy, C.M.; Murphy, S.A.; Leseberg, N.P.; Burbidge, A.H.; Travouillon, K.J.; Joseph, L.; Kearns, A.M.","Yeap, Heng Lin (35742412000); Pandey, Gunjan D. (7202575630); Austin, Jeremy J. (7402093371); Oakeshott, John Graham (7005180684); Hardy, Christopher M. (56224626000); Murphy, Stephen A. (60017623100); Leseberg, Nicholas P. (56595138800); Burbidge, Allan H. (36873829300); Travouillon, Kenny J. (22036598600); Joseph, Leo (35613217800); Kearns, Anna M. (25959209400)","35742412000; 7202575630; 7402093371; 7005180684; 56224626000; 60017623100; 56595138800; 36873829300; 22036598600; 35613217800; 25959209400","Museomics and Salvaged Feathers Piece Together the Evolutionary History and Conservation Genomics of the Elusive, Critically Endangered Night Parrot (Pezoporus occidentalis)","2025","Molecular Ecology","34","18","e70055","","","0","0","10.1111/mec.70055","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011830229&doi=10.1111%2Fmec.70055&partnerID=40&md5=d63f567adb391b40d8893b2bfd8bf978","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105011830229"
"Keinath, S.; Freyhof, J.; Kasper, K.; Lutz, M.; Velder, R.; Riestenpatt, D.; Petzold, F.; Schwarz, J.; Ponick, W.; Eidner, R.; Meißner, J.; Bengsch, S.; Sommerwerk, N.","Keinath, Silvia (57211810526); Freyhof, Jörg (56125204100); Kasper, Katharina (58905982600); Lutz, Martina (57221321049); Velder, Ronja (59957513500); Riestenpatt, Dirk (59957949100); Petzold, Falk (57221324562); Schwarz, Johannes (59957727900); Ponick, Wiebke (59958380600); Eidner, Regina (59958589900); Meißner, Justus (57208174825); Bengsch, Susanne (57221303604); Sommerwerk, Nike (6503876410)","57211810526; 56125204100; 58905982600; 57221321049; 59957513500; 59957949100; 57221324562; 59957727900; 59958380600; 59958589900; 57208174825; 57221303604; 6503876410","Towards Global Biodiversity Framework Target 12: mapping urban biodiversity monitoring programmes – a case study for Berlin, Germany","2025","Urban Ecosystems","28","4","146","","","0","1","10.1007/s11252-025-01760-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008774723&doi=10.1007%2Fs11252-025-01760-0&partnerID=40&md5=b745a8f6b39bf9354b854eca903719a9","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105008774723"
"Broudic, L.; Pinault, M.; Claud, R.; Bajjouk, T.; Rungassamy, T.; Nikolic, N.; Crochelet, E.; Maze, C.; Bergerot, B.","Broudic, Léo (57445267500); Pinault, Mathieu (55671092000); Claud, Romain (59462176400); Bajjouk, Touria (6507129456); Rungassamy, Tévamie (26634229500); Nikolic, Natacha (26025157200); Crochelet, Estelle C. (55898634100); Maze, Camille (57198771086); Bergerot, Benjamin (26657874600)","57445267500; 55671092000; 59462176400; 6507129456; 26634229500; 26025157200; 55898634100; 57198771086; 26657874600","Mapping benthic biodiversity indicators of coral reefs using spatial interpolation","2025","Coral Reefs","44","4","","1287","1304","0","1","10.1007/s00338-025-02689-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008581497&doi=10.1007%2Fs00338-025-02689-8&partnerID=40&md5=b2cfa49fc1c2dd2c686417da6105ce17","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105008581497"
