"","doi","text_id","justification","EOV","version","DOI"
"411","https://doi.org/10.1139/z03-028","","land-based video","fish","V22","10.1139/z03-028"
"434","https://doi.org/10.3390/biomimetics10090566","","method","fish","V27","10.3390/biomimetics10090566"
"435","https://doi.org/10.1007/s41365-025-01748-7","","no camera","fish","V27","10.1007/s41365-025-01748-7"
"436","https://doi.org/10.1016/j.marenvres.2025.107327","","no camera in situ","fish","V27","10.1016/j.marenvres.2025.107327"
"437","https://doi.org/10.1016/j.ecoinf.2025.103154","","no camera","fish","V27","10.1016/j.ecoinf.2025.103154"
"438","https://doi.org/10.1016/j.scitotenv.2025.179859","","no camera","fish","V27","10.1016/j.scitotenv.2025.179859"
"439","https://doi.org/10.1002/rse2.70002","","multibeam","fish","V27","10.1002/rse2.70002"
"441","https://doi.org/10.1016/j.marpolbul.2025.118039","","camera guides instrument","fish","V27","10.1016/j.marpolbul.2025.118039"
"442","https://doi.org/10.1016/j.ecss.2025.109256","","camera not in situ","fish","V27","10.1016/j.ecss.2025.109256"
"443","https://doi.org/10.1016/j.marpolbul.2025.117935","","photooxidation","fish","V27","10.1016/j.marpolbul.2025.117935"
"444","https://doi.org/10.1093/gji/ggaf116","","no camera, not ecology","fish","V27","10.1093/gji/ggaf116"
"445","https://doi.org/10.1016/j.fishres.2025.107357","","camera not in situ","fish","V27","10.1016/j.fishres.2025.107357"
"446","https://doi.org/10.1016/j.palaeo.2025.112748","","paleobiology","fish","V27","10.1016/j.palaeo.2025.112748"
"448","https://doi.org/10.1016/j.jqsrt.2024.109288","","polarization imaging","fish","V27","10.1016/j.jqsrt.2024.109288"
"449","https://doi.org/10.3390/jmse13020309","","acoustic images","fish","V27","10.3390/jmse13020309"
"450","https://doi.org/10.1016/j.softx.2024.102022","","method","","","10.1016/j.softx.2024.102022"
"453","https://doi.org/10.1016/j.fishres.2024.107179","","laboratory","","","10.1016/j.fishres.2024.107179"
"454","https://doi.org/10.1080/26395916.2025.2566067","","camera not in situ","","","10.1080/26395916.2025.2566067"
"455","https://doi.org/10.1002/ar.70067","","laboratory imaging","","","10.1002/ar.70067"
"456","https://doi.org/10.1038/s42003-024-06837-8","","particle imaging","","","10.1038/s42003-024-06837-8"
"464","https://doi.org/10.13810/j.cnki.issn.1000-7210.2024.05.012","","seabed imaging","","","10.13810/j.cnki.issn.1000-7210.2024.05.012"
"465","https://doi.org/10.19762/j.cnki.dizhixuebao.2024226","","seabed imaging","","","10.19762/j.cnki.dizhixuebao.2024226"
"466","https://doi.org/10.1016/j.ecoinf.2024.102788","","method","","","10.1016/j.ecoinf.2024.102788"
"467","https://doi.org/10.1007/s10750-024-05514-5","","pre-image population analysis","","","10.1007/s10750-024-05514-5"
"468","https://doi.org/10.1016/j.scitotenv.2024.172981","","no camera","","","10.1016/j.scitotenv.2024.172981"
"469","https://doi.org/10.22059/JESPHYS.2024.363402.1007548","","satellite imagery","","","10.22059/JESPHYS.2024.363402.1007548"
"470","https://doi.org/10.1126/sciadv.adk6833","","plankton imaging","","","10.1126/sciadv.adk6833"
"471","https://doi.org/10.1111/jfb.15704","","camera not in situ","","","10.1111/jfb.15704"
"472","https://doi.org/10.1007/s11600-023-01203-4","","seismic","","","10.1007/s11600-023-01203-4"
"473","https://doi.org/10.1016/j.dsr.2023.104223","","camera not in situ","","","10.1016/j.dsr.2023.104223"
"474","https://doi.org/10.1016/j.ecoinf.2024.102467","","method","","","10.1016/j.ecoinf.2024.102467"
"475","https://doi.org/10.5026/jgeography.133.Cover06_01","","no camera","","","10.5026/jgeography.133.Cover06_01"
"476","https://doi.org/10.22092/ijfs.2024.131909","","satellite imagery","","","10.22092/ijfs.2024.131909"
"477","https://doi.org/10.1578/AM.50.2.2024.132","","whale ID","","","10.1578/AM.50.2.2024.132"
"478","https://doi.org/10.3788/IRLA20230372","","method","","","10.3788/IRLA20230372"
"480","https://doi.org/10.3390/ani13243768","","genetics","","","10.3390/ani13243768"
"481","https://doi.org/10.1016/j.fishres.2023.106856","","method","","","10.1016/j.fishres.2023.106856"
"483","https://doi.org/10.1093/icesjms/fsad106","","laboratory","","","10.1093/icesjms/fsad106"
"484","https://doi.org/10.1371/journal.pone.0289626","","whale ID","","","10.1371/journal.pone.0289626"
"485","https://doi.org/10.26028/cybium/2023-020","","database","","","10.26028/cybium/2023-020"
"486","https://doi.org/10.1016/j.marpolbul.2023.115099","","drone imagery","","","10.1016/j.marpolbul.2023.115099"
"487","https://doi.org/10.1111/1365-2664.14408","","method","","","10.1111/1365-2664.14408"
"488","https://doi.org/10.1111/jfb.15350","","camera not in situ","","","10.1111/jfb.15350"
"489","https://doi.org/10.3788/AOS221551","","fiber optic hydrophone","","","10.3788/AOS221551"
"493","https://doi.org/10.3389/fmars.2023.1327581","","laboratory","","","10.3389/fmars.2023.1327581"
"495","https://doi.org/10.3750/AIEP/03033","","no camera","","","10.3750/AIEP/03033"
"496","https://doi.org/10.3391/bir.2017.6.3.08","","laboratory","","","10.3391/bir.2017.6.3.08"
"498","https://doi.org/10.1007/s10641-010-9631-z","","laboratory","","","10.1007/s10641-010-9631-z"
"499","https://doi.org/10.2307/25548158","","no camera","","","10.2307/25548158"
"500","https://doi.org/10.1061/(ASCE)0733-9429(2002)128:11(1002)","","xray","","","10.1061/(ASCE)0733-9429(2002)128:11(1002)"
"501","https://doi.org/10.1016/S0380-1330(02)70581-9","","laboratory","","","10.1016/S0380-1330(02)70581-9"
"502","https://doi.org/10.3354/meps165137","","laboratory","","","10.3354/meps165137"
"503","https://doi.org/10.1002/aqc.448","","photosynthesis","","","10.1002/aqc.448"
"504","https://doi.org/10.1016/j.envpol.2020.115648","","laboratory","","","10.1016/j.envpol.2020.115648"
"505","https://doi.org/10.1007/s10750-013-1497-6","","laboratory","","","10.1007/s10750-013-1497-6"
"506","https://doi.org/10.3389/fmars.2021.582076","","laboratory","","","10.3389/fmars.2021.582076"
"507","https://doi.org/10.7780/kjrs.2023.39.5.3.3","","method","","","10.7780/kjrs.2023.39.5.3.3"
"508","https://doi.org/10.1587/transinf.2022OFP0003","","method","","","10.1587/transinf.2022OFP0003"
"509","https://doi.org/10.3354/esr01264","","ultrasound","","","10.3354/esr01264"
"510","https://doi.org/10.1016/j.ecoinf.2022.101847","","method","","","10.1016/j.ecoinf.2022.101847"
"512","https://doi.org/10.3389/fmars.2022.1004083","","photos for ground truthing","","","10.3389/fmars.2022.1004083"
"513","https://doi.org/10.1002/aqc.3888","","satellite imagery","","","10.1002/aqc.3888"
"514","https://doi.org/10.1111/1365-2664.14276","","no camera","","","10.1111/1365-2664.14276"
"515","https://doi.org/10.3390/rs14194731","","seabed imaging","","","10.3390/rs14194731"
"516","https://doi.org/10.1007/s00227-022-04095-y","","photo ID of dolphins","","","10.1007/s00227-022-04095-y"
"517","https://doi.org/10.1016/j.ejar.2022.06.002","","camera not in situ","","","10.1016/j.ejar.2022.06.002"
"518","https://doi.org/10.11964/jfc.20201012449","","acoustic images","","","10.11964/jfc.20201012449"
"520","https://doi.org/10.1111/jfb.15120","","photoadaptation","","","10.1111/jfb.15120"
"521","https://doi.org/10.1134/S0001437022030092","","no fish","","","10.1134/S0001437022030092"
